"Did.You.Recognize1","Did.You.Recognize2","Did.You.Recognize3","Did.You.Recognize4","Did.You.Recognize5","Did.You.Recognize6","Did.You.Recognize7","Did.You.Recognize8","Did.You.Recognize9","Did.You.Recognize10","Did.You.Recognize11","Did.You.Recognize12","Did.You.Recognize13","Did.You.Recognize14","Did.You.Recognize15","Did.You.Recognize16","Did.You.Recognize17","Did.You.Recognize18","Did.You.Recognize19","Did.You.Recognize20"
"RNN","NR","RNN","RNN","C","C","C","RNN","NR","NR","TT","NR","RNN","C","C","TT","RNN","NR","RNN","NR"
"C","NR","C","NR","RNN","C","TT","NR","C","RNN","RNN","RNN","TT","NR","RNN","NR","NR","C","C","RNN"
"NR","NR","C","NR","RNN","NR","C","NR","NR","NR","RNN","NR","C","NR","NR","RNN","NR","C","TT","RNN"
"C","C","NR","NR","NR","RNN","TT","C","NR","NR","C","NR","NR","RNN","NR","C","C","NR","NR","C"
"C","NR","C","C","C","C","C","NR","NR","C","NR","C","C","RNN","NR","C","C","C","C","NR"
"C","C","NR","C","NR","RNN","RNN","RNN","RNN","TT","C","C","C","TT","C","RNN","NR","NR","RNN","TT"
"NR","NR","C","C","C","NR","NR","NR","RNN","RNN","C","NR","C","NR","NR","C","C","TT","C","RNN"
"C","NR","NR","NR","C","NR","C","RNN","NR","NR","C","RNN","RNN","NR","RNN","NR","NR","NR","RNN","RNN"
"NR","RNN","C","C","NR","C","C","C","C","RNN","C","C","RNN","C","NR","TT","RNN","RNN","C","NR"
"TT","C","C","NR","NR","NR","C","RNN","C","NR","NR","NR","NR","C","TT","RNN","RNN","RNN","NR","C"
"C","C","C","NR","C","RNN","C","RNN","NR","TT","RNN","C","C","NR","C","NR","C","C","RNN","RNN"
"C","C","C","TT","C","NR","NR","RNN","C","C","RNN","C","C","RNN","C","C","C","C","NR","NR"
"RNN","NR","C","RNN","RNN","NR","C","C","C","NR","NR","C","NR","NR","RNN","RNN","NR","C","C","NR"
"RNN","NR","NR","C","TT","NR","RNN","C","C","RNN","RNN","C","NR","NR","C","RNN","RNN","NR","C","RNN"
"TT","NR","NR","C","NR","NR","NR","NR","NR","C","C","RNN","C","NR","NR","C","NR","NR","NR","NR"
"C","NR","C","RNN","NR","NR","TT","NR","NR","NR","NR","RNN","C","RNN","RNN","NR","RNN","NR","C","C"
"RNN","NR","TT","TT","C","NR","NR","NR","RNN","C","C","NR","RNN","NR","NR","NR","NR","C","NR","NR"
"C","C","C","NR","NR","NR","C","C","C","NR","NR","C","C","NR","RNN","NR","NR","NR","C","RNN"
"C","C","C","C","NR","NR","C","C","NR","C","NR","C","NR","NR","C","NR","C","NR","NR","NR"
"C","NR","NR","RNN","C","NR","NR","NR","NR","RNN","NR","NR","C","NR","C","TT","C","C","C","C"
"NR","NR","NR","NR","NR","NR","NR","NR","C","C","NR","NR","NR","TT","NR","NR","TT","NR","TT","NR"
"C","RNN","NR","NR","NR","C","C","NR","RNN","C","NR","NR","NR","RNN","C","NR","C","NR","NR","C"
"C","RNN","RNN","C","NR","C","C","C","NR","NR","RNN","C","C","NR","NR","NR","C","C","C","C"
