"CelebrityID1","CelebrityID2","CelebrityID3","CelebrityID4","CelebrityID5","CelebrityID6","CelebrityID7","CelebrityID8","CelebrityID9","CelebrityID10","CelebrityID11","CelebrityID12","CelebrityID13","CelebrityID14","CelebrityID15","CelebrityID16","CelebrityID17","CelebrityID18","CelebrityID19","CelebrityID20","Did.You.Recognize1","Did.You.Recognize2","Did.You.Recognize3","Did.You.Recognize4","Did.You.Recognize5","Did.You.Recognize6","Did.You.Recognize7","Did.You.Recognize8","Did.You.Recognize9","Did.You.Recognize10","Did.You.Recognize11","Did.You.Recognize12","Did.You.Recognize13","Did.You.Recognize14","Did.You.Recognize15","Did.You.Recognize16","Did.You.Recognize17","Did.You.Recognize18","Did.You.Recognize19","Did.You.Recognize20"
"42068","166959","242053","154698","327664","5792809","23680998","91084","20647283","2279619","149709","6844407","301775","26954","24095","38301","179331","17173785","21111","6064346","1","2","1","2","1","2","2","1","1","1","1","1","2","4","2","1","2","1","2","1"
"2150841","306401","939583","156126","144171","14995351","39879","37313","2110323","12684530","383926","6162301","19394613","43115","30029","153295","15852","459304","980836","7412236","2","1","2","2","1","2","1","1","2","1","1","1","2","1","1","4","4","1","1","2"
"144936","20913246","43356","154971","27848","4429395","379216","534366","14279","528673","217790","71870","665823","171268","2629332","23035","202664","246185","15852","7412236","2","2","2","4","1","1","1","2","2","1","1","2","1","4","2","4","4","4","2","2"
"42148","44059","53327","37313","690389","63747","213163","44849","105439","43568","23680998","43084","652402","891226","305487","17782843","192481","3841","1955932","97803","1","3","3","3","3","2","4","2","1","4","2","2","1","3","1","2","2","1","1","2"
"623737","162617","8239846","86665","33209238","5052197","170409","43223","3991193","43373","26531073","43084","252130","528673","160985","166777","400738","305561","17782843","146167","2","4","3","4","1","4","1","1","1","1","1","1","1","1","1","1","4","1","2","1"
"44849","332287","707815","204467","7352704","1084395","8979822","5792809","20076","144936","1769827","169408","142056","89265","146638","24953","215642","2190438","20949091","2318278","2","1","4","1","1","1","1","2","2","2","2","1","2","1","1","1","1","2","4","4"
"7412236","1031515","595","25530","63747","177840","730484","212187","493129","1838387","42104","42238","4429395","9195868","523032","71870","192481","20455","15135713","19672919","2","4","1","4","4","1","4","2","4","1","2","4","2","2","2","2","2","1","1","1"
"51799","7412236","26552","3747","352699","78834","327437","39660","29427669","222417","345802","90239","4429395","3354295","14995351","509997","13199916","4540726","156093","343554","1","2","1","1","1","1","1","1","1","1","1","1","2","1","2","1","2","1","1","2"
"8239846","412023","1439517","4429395","534366","147687","104492","415045","5792809","2647835","212686","240940","1031515","20913246","343560","14995351","414848","163893","164120","707815","1","4","2","2","2","1","1","1","2","3","1","3","4","4","1","2","1","1","4","1"
"19008577","534366","177854","159547","20455","25808","42148","42357","13199916","15326144","240940","26909","48874","6803715","551643","1221476","5132","523032","17450","59720","1","2","1","4","1","1","1","1","2","2","1","1","1","1","4","2","4","3","1","4"
"534366","17782843","162870","144936","88923","303225","508717","168540","31341","8135890","158448","6967012","144829","159625","21131695","18589061","16095","5052197","599745","192481","2","1","1","2","2","1","1","1","1","2","1","1","1","1","1","1","2","4","1","2"
"71870","375502","12788962","102994","324168","262376","731111","23680998","17782843","8135890","310301","26033941","17450","308851","303225","24953","14995351","1828","154698","23725","3","1","1","4","1","2","3","2","2","2","1","1","1","4","1","1","2","1","2","1"
"17782843","158889","262376","4429395","16175","1828","2190438","39879","102685","5792809","154698","208160","1512539","20913302","30278","15852","63132","23680998","12520860","22995","2","2","3","2","2","1","4","4","2","2","2","1","2","2","1","2","2","2","2","4"
"14995351","319659","15766","149243","278119","555483","23805","228998","21566","345802","400738","71870","2944","29455","2110323","2588300","1532027","61020","2777824","5422144","2","1","2","2","2","1","2","1","1","2","2","2","1","2","2","4","1","4","1","1"
"12520860","8135890","476044","8490390","8239846","666910","652402","71870","144936","493900","156126","163038","39942","3747","17173785","6844407","728776","14596669","12153654","64673","2","2","4","2","3","3","4","3","2","4","2","1","2","2","4","2","2","1","2","3"
"52139","71870","182997","2796527","21222062","1769827","331124","17173785","80335","44219","2204744","72671","6050453","378093","19614294","21504","1554192","5655","54539","153956","2","2","1","1","1","1","3","1","4","2","2","2","2","1","2","4","2","1","2","2"
"23680998","537682","14995351","71870","2265561","158448","12153654","90095","8135890","44849","204467","7412236","31501","14279","534366","20796","3793726","16175","40547","255405","2","1","2","2","2","4","2","2","2","2","4","2","3","2","2","1","4","2","1","1"
"623737","78468","1656784","1181010","19499","71870","9288","2110323","3356","61982","30528002","46165","363163","4998554","377205","276392","220160","154698","4014486","14995351","2","1","1","4","2","2","2","2","2","1","2","1","1","1","4","1","3","3","1","2"
"42068","4429395","68904","1955932","171045","58719","19376148","34016927","13717","17782843","2110323","3747","1084395","5792809","69323","21111","23805","3356","280636","71870","2","2","1","4","2","2","2","4","2","2","2","1","1","2","2","2","3","2","1","2"
"4429395","21247","213163","892372","31341","93759","17782843","26940","16308","8269381","19043935","1054604","522014","71870","31460","12153654","1017","660446","5132","42104","2","3","1","2","1","1","2","1","1","1","1","1","1","2","3","2","4","1","1","2"
"102994","534366","23243880","4429395","20437813","876916","20455","150056","2278804","20076","217790","8239846","8900348","296256","415175","61797","409842","623737","23680998","42621","3","2","1","2","2","2","2","2","4","4","2","2","2","2","2","1","1","2","2","3"
"623737","113746","71870","876916","735479","14995351","704723","723489","26709","4014486","1783180","19222532","16422","347480","6064346","39027","2991300","19394613","262260","52707","2","1","4","1","1","3","4","3","1","1","1","3","1","1","1","1","1","4","1","1"
"2110323","447541","8239846","158595","20022961","446099","38459","37313","4513237","2150841","165507","25169","32901","5806040","13736167","162617","5792809","15852","61982","5132","2","1","2","4","1","1","3","2","4","2","2","2","2","1","2","3","4","2","4","4"
"43373","356167","21026","1229883","64182","37313","804581","345802","34289","890","405704","61404","17782843","265586","363163","71870","147995","6944155","44059","1296564","4","1","4","1","4","4","2","4","1","1","4","4","2","4","4","2","4","4","1","4"
"14995351","739547","168540","6944155","7412236","493900","2629332","60192","728776","18622157","64182","886579","170779","878666","6479315","1563002","16899","335195","278119","16095","2","2","2","3","2","1","2","2","2","1","3","3","2","4","2","2","1","1","2","1"
"7412236","4429395","879015","29490","219358","5245920","1084540","54306","17782843","61404","426208","5792809","68322","460349","25169","2179398","192481","100405","63747","6844407","2","2","1","1","1","4","1","1","2","1","1","2","4","1","1","1","4","1","1","2"
"415045","4637590","42068","301775","19831","83688","17782843","44059","83312","6844407","18717883","704723","162870","331124","262376","154698","8618","2289856","1354745","61020","4","1","2","4","1","2","2","4","1","2","4","4","2","1","4","3","2","4","4","1"
"31341","524577","377205","345792","98607","936829","14995351","217790","149561","665823","17782843","4429395","16121057","3793726","2169603","8239846","30278","1297124","876916","58586","2","1","1","4","1","4","2","1","1","4","3","2","1","1","1","2","1","4","1","1"
"71870","400738","331124","39660","20118104","42620","11857","278119","939583","276433","150056","364813","227696","168540","3830432","97778","159351","7891","9195868","147726","2","2","4","3","2","1","1","1","2","1","4","1","1","4","1","1","1","1","2","1"
"20584","37313","3747","78781","16175","616575","38828","16705483","707815","23680998","345792","69323","21111","152447","804581","163618","509997","1327710","365964","363856","4","1","1","1","2","1","1","2","4","2","1","2","2","1","2","1","4","4","1","1"
"8135890","523032","19394613","71870","7412236","8083","444645","24041298","58719","25832","38301","230698","331124","43113","67404","3741746","21501511","19661665","164120","16991","2","3","2","2","2","4","1","2","1","4","1","1","4","1","4","3","4","1","1","1"
"14995351","142809","49650","145584","171606","22570683","3414021","74326","25428","100692","244932","53494","88923","261035","60328","2629332","276433","208580","262482","306478","2","1","4","1","1","2","2","1","1","1","4","1","2","4","1","3","1","1","1","1"
"415045","1031258","5132","534366","2095762","154247","9288","152680","63747","296388","48874","149243","3747","665823","23680998","142510","76772","158889","19394613","20913302","2","4","4","2","2","1","2","1","2","1","1","2","3","1","2","3","1","3","2","4"
"37313","34071","16095","235323","1126578","64182","57187","2318278","19394613","8300","2110323","165507","1031515","1882517","27005455","21132373","1806","615995","936829","707815","1","2","2","1","1","2","2","1","4","4","2","2","1","2","2","1","2","1","1","1"
"23680998","1221476","749247","61404","78239","534366","20650188","10576","148341","38459","86665","80903","71870","42620","8135890","20455","203407","52711","53242","445390","2","2","1","1","1","2","4","1","2","1","2","4","2","2","1","4","2","2","4","1"
"19831","2844938","34350","105389","1024181","534366","24041298","16477368","20913246","5422144","6844407","594667","2941511","67404","939583","2629332","879015","5052197","760163","1783180","1","1","1","1","1","2","2","2","4","2","4","1","1","1","2","4","1","4","4","1"
"4429395","534366","5792809","365193","495350","16095","8786","157487","169602","16707","1713217","8135890","71870","660446","45218","20455","8394247","16844","4311446","162617","2","2","4","1","1","1","4","1","1","4","1","2","2","1","1","4","4","1","1","4"
"44849","57570","8135890","23292229","45979","6479315","71870","629851","1116998","739547","2397","165507","17782843","168540","936829","12153654","534636","14995351","700310","213163","4","1","2","1","4","2","4","1","1","4","1","2","2","2","2","1","1","2","1","1"
"2150841","19222532","154247","16175","6824","21491340","276348","17837763","551643","365193","20022961","299734","690389","148784","168540","24953","10567534","1769827","598363","171593","2","1","1","2","1","1","1","1","1","1","2","1","1","1","3","1","1","4","1","1"
"15852","200750","8401973","9288","22570683","534366","163893","939583","59720","8394551","43373","6050453","1806","21194008","31501","2844938","23680998","7886","11983273","8239846","3","1","1","2","2","2","4","2","1","4","1","1","4","4","1","3","2","1","1","4"
"2150841","364813","27717","71870","299717","17782843","147995","154698","6479315","8135890","19672919","4429395","1806","3741746","2925581","14995351","60070","327317","18617829","39942","1","1","1","2","1","2","1","2","2","2","1","2","1","2","4","2","1","4","1","2"
"12153654","203407","22570683","400738","53494","707815","63741","262260","9288","162870","623737","44849","21188633","53242","2318278","159547","37313","25695","56386","3747","2","2","2","2","1","2","1","4","2","2","2","2","4","3","4","4","1","1","1","4"
