"en_curid","outcome","name","TotalPageViews","participant"
"162870","C","Jay-Z",42716217,19
"166911","NR","Stevie Ray Vaughan",10344798,19
"16894","TT","Kylie Minogue",18946497,19
"19499","C","Mariah Carey",36400183,19
"20455","C","Michael Jordan",49879093,19
"210318","NR","Teri Hatcher",9447426,19
"26091","C","Rupert Murdoch",12578393,19
"342753","NR","Audrey Tautou",9568455,19
"343134","NR","Christopher Plummer",8367435,19
"345802","C","John Cena",48740783,19
"38459","C","Natalie Portman",45549617,19
"460207","RNN","Simon Baker",7802635,19
"53029","C","Muammar al-Gaddafi",29470548,19
"534366","C","Barack Obama",112536577,19
"7412236","C","Steve Jobs",78372660,19
"753300","RNN","Laura Prepon",8940057,19
"926934","C","Gisele Bündchen",16507588,19
"9615288","C","Dev Patel",9004565,19
"1181010","NR","Logan Lerman",14300785,20
"11955","C","George H. W. Bush",21361900,20
"143983","NR","Eddie Izzard",6410965,20
"154247","NR","Eddie Vedder",12026210,20
"173691","NR","Jeff Buckley",12418051,20
"18969800","NR","Michael Clarke Duncan",19546359,20
"18980847","NR","Jack Wilshere",5003329,20
"19661665","NR","Andy Whitfield",11643053,20
"212860","C","Macaulay Culkin",38342996,20
"2130104","TT","Wentworth Miller",16860948,20
"222417","NR","A. R. Rahman",7954954,20
"2323727","NR","Ellen Page",21285325,20
"2825163","NR","Zack Snyder",5168055,20
"42068","C","Freddie Mercury",56680942,20
"495350","NR","Toni Braxton",7255193,20
"534366","C","Barack Obama",112536577,20
"538605","NR","Edward Furlong",8061949,20
"547384","TT","Steven Gerrard",13357299,20
"6479315","C","Shakira",54558771,20
"74326","NR","Nadia Comaneci",6197895,20
"1172503","NR","Djibril Cissé",6457407,22
"12684530","C","Jennifer Lawrence",35058386,22
"13199916","C","Taylor Lautner",40302818,22
"14995351","C","Michael Jackson",145250649,22
"16603","C","Keanu Reeves",30400034,22
"1982061","C","Will.i.am",16597454,22
"20796","NR","Malcolm X",25768520,22
"20913924","C","Katherine Heigl",22658028,22
"23680998","C","Justin Bieber",113558067,22
"335195","NR","Stephen Colbert",8744243,22
"3382","C","Britney Spears",58474806,22
"4429395","C","Eminem",108953700,22
"468318","C","Djimon Hounsou",6581232,22
"54985","C","Whoopi Goldberg",14541732,22
"625371","NR","Robbie Keane",5334738,22
"63747","C","Muhammad Ali",36149628,22
"690389","RNN","Josh Duhamel",14366635,22
"741705","NR","Mark Harmon",11684956,22
"78781","C","Michael Douglas",18370864,22
"8135890","C","Miley Cyrus",91947733,22
"104492","C","Jerry Seinfeld",7093958,23
"142056","C","Madonna",19996250,23
"144936","C","Jackie Chan",44209817,23
